OBJECTID,COUNTYFP10,MAZ,TAZ,PUMA5,tractid,CensusTract,Bloc_GroupID,BlockGroup,COUNTY,COUNTY_N
12720,85,219193,200656,2706,6085512309.000000000000000,512309,60855123091.000000000000000,1,SANTA CLARA,7
12721,85,219198,200118,2706,6085512509.000000000000000,512509,60855125091.000000000000000,1,SANTA CLARA,7
12722,85,219199,200667,2706,6085512506.000000000000000,512506,60855125062.000000000000000,2,SANTA CLARA,7
12723,85,219202,200658,2706,6085512401.000000000000000,512401,60855124011.000000000000000,1,SANTA CLARA,7
12724,85,219203,200671,2706,6085512508.000000000000000,512508,60855125082.000000000000000,2,SANTA CLARA,7
12725,85,219205,200240,2706,6085512604.000000000000000,512604,60855126043.000000000000000,3,SANTA CLARA,7
12726,85,219206,200662,2706,6085512503.000000000000000,512503,60855125031.000000000000000,1,SANTA CLARA,7
12727,85,219207,200662,2706,6085512503.000000000000000,512503,60855125031.000000000000000,1,SANTA CLARA,7
12728,85,219209,200665,2706,6085512505.000000000000000,512505,60855125051.000000000000000,1,SANTA CLARA,7
12729,85,219210,200157,2706,6085512506.000000000000000,512506,60855125063.000000000000000,3,SANTA CLARA,7
12730,85,219213,200715,2706,6085512510.000000000000000,512510,60855125103.000000000000000,3,SANTA CLARA,7
12731,85,219223,200714,2706,6085512508.000000000000000,512508,60855125081.000000000000000,1,SANTA CLARA,7
12732,85,219229,200060,2706,6085512310.000000000000000,512310,60855123102.000000000000000,2,SANTA CLARA,7
12733,85,219234,200060,2706,6085512310.000000000000000,512310,60855123102.000000000000000,2,SANTA CLARA,7
12734,85,219237,200626,2703,6085504602.000000000000000,504602,60855046021.000000000000000,1,SANTA CLARA,7
12735,85,219239,200626,2703,6085504602.000000000000000,504602,60855046021.000000000000000,1,SANTA CLARA,7
12736,85,219240,200626,2703,6085504602.000000000000000,504602,60855046021.000000000000000,1,SANTA CLARA,7
12737,85,219241,200814,2709,6085501502.000000000000000,501502,60855015021.000000000000000,1,SANTA CLARA,7
12738,85,219242,200814,2709,6085501502.000000000000000,501502,60855015021.000000000000000,1,SANTA CLARA,7
12739,85,219244,200302,2709,6085501501.000000000000000,501501,60855015012.000000000000000,2,SANTA CLARA,7
12740,85,219245,200816,2709,6085501402.000000000000000,501402,60855014022.000000000000000,2,SANTA CLARA,7
12741,85,219247,200364,2709,6085501401.000000000000000,501401,60855014012.000000000000000,2,SANTA CLARA,7
12742,85,219248,200871,2709,6085501401.000000000000000,501401,60855014011.000000000000000,1,SANTA CLARA,7
12743,85,219249,200871,2714,6085501401.000000000000000,501401,60855014011.000000000000000,1,SANTA CLARA,7
12744,85,219250,200364,2709,6085501401.000000000000000,501401,60855014012.000000000000000,2,SANTA CLARA,7
12745,85,219251,200201,2704,6085504317.000000000000000,504317,60855043171.000000000000000,1,SANTA CLARA,7
12746,85,219258,200196,2704,6085504322.000000000000000,504322,60855043221.000000000000000,1,SANTA CLARA,7
12747,85,219259,200855,2709,6085500500.000000000000000,500500,60855005003.000000000000000,3,SANTA CLARA,7
12748,85,219261,200855,2709,6085500500.000000000000000,500500,60855005003.000000000000000,3,SANTA CLARA,7
12749,85,219262,200855,2709,6085500500.000000000000000,500500,60855005003.000000000000000,3,SANTA CLARA,7
12750,85,219263,200259,2709,6085500500.000000000000000,500500,60855005002.000000000000000,2,SANTA CLARA,7
12751,85,219265,200857,2709,6085500500.000000000000000,500500,60855005001.000000000000000,1,SANTA CLARA,7
12752,85,219266,200943,2703,6085506101.000000000000000,506101,60855061012.000000000000000,2,SANTA CLARA,7
12753,85,219267,200943,2703,6085506101.000000000000000,506101,60855061012.000000000000000,2,SANTA CLARA,7
12754,85,219268,200943,2703,6085506101.000000000000000,506101,60855061012.000000000000000,2,SANTA CLARA,7
12755,85,219269,200943,2703,6085506101.000000000000000,506101,60855061012.000000000000000,2,SANTA CLARA,7
12756,85,219273,200897,2703,6085506101.000000000000000,506101,60855061011.000000000000000,1,SANTA CLARA,7
12757,85,219274,200897,2703,6085506101.000000000000000,506101,60855061011.000000000000000,1,SANTA CLARA,7
12758,85,219275,200897,2703,6085506101.000000000000000,506101,60855061011.000000000000000,1,SANTA CLARA,7
12759,85,219279,200601,2703,6085505900.000000000000000,505900,60855059003.000000000000000,3,SANTA CLARA,7
12760,85,219280,200982,2710,6085503204.000000000000000,503204,60855032044.000000000000000,4,SANTA CLARA,7
12761,85,219281,201027,2710,6085503204.000000000000000,503204,60855032043.000000000000000,3,SANTA CLARA,7
12762,85,219284,200998,2710,6085503002.000000000000000,503002,60855030021.000000000000000,1,SANTA CLARA,7
12763,85,219287,200488,2710,6085503001.000000000000000,503001,60855030012.000000000000000,2,SANTA CLARA,7
12764,85,219288,200999,2710,6085503001.000000000000000,503001,60855030011.000000000000000,1,SANTA CLARA,7
12765,85,219290,201036,2712,6085511914.000000000000000,511914,60855119142.000000000000000,2,SANTA CLARA,7
12766,85,219291,201038,2712,6085511913.000000000000000,511913,60855119132.000000000000000,2,SANTA CLARA,7
12767,85,219292,201038,2712,6085511913.000000000000000,511913,60855119132.000000000000000,2,SANTA CLARA,7
12768,85,219293,201038,2712,6085511913.000000000000000,511913,60855119132.000000000000000,2,SANTA CLARA,7
12769,85,219294,201038,2712,6085511913.000000000000000,511913,60855119132.000000000000000,2,SANTA CLARA,7
12770,85,219295,200468,2712,6085511913.000000000000000,511913,60855119131.000000000000000,1,SANTA CLARA,7
12771,85,219297,200402,2710,6085502603.000000000000000,502603,60855026032.000000000000000,2,SANTA CLARA,7
12772,85,219298,200021,2710,6085502604.000000000000000,502604,60855026043.000000000000000,3,SANTA CLARA,7
12773,85,219300,200204,2710,6085502604.000000000000000,502604,60855026041.000000000000000,1,SANTA CLARA,7
12774,85,219301,200333,2712,6085511905.000000000000000,511905,60855119051.000000000000000,1,SANTA CLARA,7
